object_number,platform_raw_first,platform_norm,title_primary,title_norm,title_norm_source,title_aliases,region_norm,language_norm,media_norm,edition_key,edition_id
20583,Nintendo Super Famicom,SFC,Harapeko Bakka,Harapeko Bakka,primary_ascii,はらぺこバッカ|Hungry Dinosaurs,NTSC-J,ja,cartridge,SFC | Harapeko Bakka | NTSC-J | ja | cartridge,f28752746c213421
20585,Nintendo Super Famicom,SFC,Super Dunk Star,Super Dunk Star,primary_ascii,スーパーダンクスター,NTSC-J,ja,cartridge,SFC | Super Dunk Star | NTSC-J | ja | cartridge,2e7c8c9cdd483d1b
20592,Nintendo Super Famicom,SFC,Zico Soccer,Zico Soccer,primary_ascii,ジーコ サッカー,NTSC-J,ja,cartridge,SFC | Zico Soccer | NTSC-J | ja | cartridge,1776bcf7506051c5
20594,Nintendo Super Famicom,SFC,The Combatribes,The Combatribes,primary_ascii,ザ・コンバットライブス,NTSC-J,ja,cartridge,SFC | The Combatribes | NTSC-J | ja | cartridge,eae82d19206aeea5
20596,Nintendo Super Famicom,SFC,Wondrous Magic,Wondrous Magic,primary_ascii,ワンダラスマジック,NTSC-J,ja,cartridge,SFC | Wondrous Magic | NTSC-J | ja | cartridge,ebb88fc69cf99975
20613,Nintendo Super Famicom,SFC,Super Koukou Yakyuu Ichikyuu Jikkon,Super Koukou Yakyuu Ichikyuu Jikkon,primary_ascii,スーパー高校野球 一球入魂|Super Koukou Baseball Ichikyuu Jikkon,NTSC-J,ja,cartridge,SFC | Super Koukou Yakyuu Ichikyuu Jikkon | NTSC-J | ja | cartridge,3f1c8d30ca094ba5
20616,Nintendo Super Famicom,SFC,Dark Kingdom,Dark Kingdom,primary_ascii,ダークキングダム,NTSC-J,ja,cartridge,SFC | Dark Kingdom | NTSC-J | ja | cartridge,d99cdf4bc30fb806
20620,Nintendo Super Famicom,SFC,Taiketsu!! Brass Numbers,Taiketsu!! Brass Numbers,primary_ascii,対決！！ブラスナンバーズ|Doomsday Warrior,NTSC-J,ja,cartridge,SFC | Taiketsu!! Brass Numbers | NTSC-J | ja | cartridge,e8330f41952e834f
20691,Nintendo Super Famicom,SFC,Hebereke no Popuun,Hebereke no Popuun,primary_ascii,へべれけのぽぷーん|Hebereke's Popoon,NTSC-J,ja,cartridge,SFC | Hebereke no Popuun | NTSC-J | ja | cartridge,8edac69ed4b96e49
20702,Nintendo Super Famicom,SFC,Magic Johnson no Super Slam Dunk,Magic Johnson no Super Slam Dunk,primary_ascii,マジックジョンソンのノスーパースラムダンク|Super Slam Dunk,NTSC-J,ja,cartridge,SFC | Magic Johnson no Super Slam Dunk | NTSC-J | ja | cartridge,e1d2d013183582ef
20703,Nintendo Super Famicom,SFC,Bishin Densetsu Zoku,Bishin Densetsu Zoku,primary_ascii,美神伝説 Ｚｏｋｕ|Zoku The Legend of Bishin,NTSC-J,ja,cartridge,SFC | Bishin Densetsu Zoku | NTSC-J | ja | cartridge,e642a22981d75180
20706,Nintendo Super Famicom,SFC,Derby Stallion II,Derby Stallion II,primary_ascii,ダービースタリオンII,NTSC-J,ja,cartridge,SFC | Derby Stallion II | NTSC-J | ja | cartridge,838ded1da6ce0f10
20708,Nintendo Super Famicom,SFC,Virtual Bart,Virtual Bart,primary_ascii,バーチャルバート,NTSC-J,ja,cartridge,SFC | Virtual Bart | NTSC-J | ja | cartridge,9c316b200ee25092
20726,Nintendo Super Famicom,SFC,Ultra Baseball Jitsumei Ban 2,Ultra Baseball Jitsumei Ban 2,primary_ascii,ウルトラベースボール実名版2,NTSC-J,ja,cartridge,SFC | Ultra Baseball Jitsumei Ban 2 | NTSC-J | ja | cartridge,b71db6699a6ada79
20863,Nintendo Super Famicom,SFC,Super Soukoban,Super Soukoban,primary_ascii,スーパー倉庫番|Super Sokoban,NTSC-J,ja,cartridge,SFC | Super Soukoban | NTSC-J | ja | cartridge,ed3813c8038cecc2
20869,Nintendo Super Famicom,SFC,Super Loopz,Super Loopz,primary_ascii,スーパーループス,NTSC-J,ja,cartridge,SFC | Super Loopz | NTSC-J | ja | cartridge,e60274537b412463
20874,Nintendo Super Famicom,SFC,Pachi Slot Kenkyuu,Pachi Slot Kenkyuu,primary_ascii,パチスロ 研究,NTSC-J,ja,cartridge,SFC | Pachi Slot Kenkyuu | NTSC-J | ja | cartridge,6549edfb7acfc975
20878,Nintendo Super Famicom,SFC,Bishoujo Wrestler Retsuden Blizzard Yuki Rannyuu!!,Bishoujo Wrestler Retsuden Blizzard Yuki Rannyuu!!,primary_ascii,美少女レスラー列伝ブリザードYuki乱入!!,NTSC-J,ja,cartridge,SFC | Bishoujo Wrestler Retsuden Blizzard Yuki Rannyuu!! | NTSC-J | ja | cartridge,26d3b9188dfff539
20880,Nintendo Super Famicom,SFC,Nigel Mansell's F-1 Challenge,Nigel Mansell's F-1 Challenge,primary_ascii,ナイジェル・マンセル Ｆ１チャレンジ|Nigel Mansell's World Championship Racing|Nigel Mansell's World Championship,NTSC-J,ja,cartridge,SFC | Nigel Mansell's F-1 Challenge | NTSC-J | ja | cartridge,f791d9c8faf9328c
20881,Nintendo Super Famicom,SFC,Tetris Flash,Tetris Flash,primary_ascii,テトリスフラッシュ|Tetris 2,NTSC-J,ja,cartridge,SFC | Tetris Flash | NTSC-J | ja | cartridge,041b6a8e0375a811
20882,Nintendo Super Famicom,SFC,Septentrion,Septentrion,primary_ascii,セプテントリオン|SOS,NTSC-J,ja,cartridge,SFC | Septentrion | NTSC-J | ja | cartridge,810d13af69e34197
20883,Nintendo Super Famicom,SFC,The Shinri Game Akuma no Kokoroji,The Shinri Game Akuma no Kokoroji,primary_ascii,The 心理ゲーム 悪魔のココロジー,NTSC-J,ja,cartridge,SFC | The Shinri Game Akuma no Kokoroji | NTSC-J | ja | cartridge,59bc10e9b6a8e227
20884,Nintendo Super Famicom,SFC,Itou Hate Rokudan no Shougi Doujou,Itou Hate Rokudan no Shougi Doujou,primary_ascii,伊藤果六段の将棋道場,NTSC-J,ja,cartridge,SFC | Itou Hate Rokudan no Shougi Doujou | NTSC-J | ja | cartridge,f4650131fc899fa7
20885,Nintendo Super Famicom,SFC,Bastard!! Ankoku no Hakaishin,Bastard!! Ankoku no Hakaishin,primary_ascii,バスタード!! -暗黒の破壊神-,NTSC-J,ja,cartridge,SFC | Bastard!! Ankoku no Hakaishin | NTSC-J | ja | cartridge,6d51c222dc2b00b1
20886,Nintendo Super Famicom,SFC,Super Family Tennis,Super Family Tennis,primary_ascii,スーパーファミリーテニス|Smash Tennis,NTSC-J,ja,cartridge,SFC | Super Family Tennis | NTSC-J | ja | cartridge,8a4db0ae3262569e
20887,Nintendo Super Famicom,SFC,Ranma ½ Bakuretsu Rantouhen,Ranma ½ Bakuretsu Rantouhen,primary_fallback,らんま1/2 爆烈乱闘篇|Ranma ½ Hard Battle,NTSC-J,ja,cartridge,SFC | Ranma ½ Bakuretsu Rantouhen | NTSC-J | ja | cartridge,164519905a942420
20888,Nintendo Super Famicom,SFC,R.P.M.Racing,R.P.M.Racing,primary_ascii,アールピーエムレーシング|RPM Racing|Radical Psycho Machine Racing,NTSC-J,ja,cartridge,SFC | R.P.M.Racing | NTSC-J | ja | cartridge,7bd71960f60eadd7
20889,Nintendo Super Famicom,SFC,Fighting Baseball,Fighting Baseball,primary_ascii,ファイティングベースボール|MLBPA Baseball,NTSC-J,ja,cartridge,SFC | Fighting Baseball | NTSC-J | ja | cartridge,d6dd862026d14a52
20890,Nintendo Super Famicom,SFC,Utopia,Utopia,primary_ascii,ユートピア|Utopia The Creation of a Nation,NTSC-J,ja,cartridge,SFC | Utopia | NTSC-J | ja | cartridge,da16399aec141ea7
20891,Nintendo Super Famicom,SFC,Metal Max 2,Metal Max 2,primary_ascii,メタルマックス2,NTSC-J,ja,cartridge,SFC | Metal Max 2 | NTSC-J | ja | cartridge,4e89c14d48ef84b4
20892,Nintendo Super Famicom,SFC,Pinball Pinball,Pinball Pinball,primary_ascii,ピンボール ピンボール|Pinball Dreams,NTSC-J,ja,cartridge,SFC | Pinball Pinball | NTSC-J | ja | cartridge,8577d7c3fde0d81b
20893,Nintendo Super Famicom,SFC,NBA All-Star Challenge,NBA All-Star Challenge,primary_ascii,NBAオールスターチャレンジ,NTSC-J,ja,cartridge,SFC | NBA All-Star Challenge | NTSC-J | ja | cartridge,60741b7f1a7b2dce
21054,Nintendo Super Famicom,SFC,Kabuki Chou Reach Mahjong Toupuusen,Kabuki Chou Reach Mahjong Toupuusen,primary_ascii,歌舞伎町 リーチ麻雀 東風戦,NTSC-J,ja,cartridge,SFC | Kabuki Chou Reach Mahjong Toupuusen | NTSC-J | ja | cartridge,afd1bc8f20a1041c
21055,Nintendo Super Famicom,SFC,Ikari no Yousai,Ikari no Yousai,primary_ascii,怒りの要塞|Operation Logic Bomb The Ultimate Search & Destroy,NTSC-J,ja,cartridge,SFC | Ikari no Yousai | NTSC-J | ja | cartridge,1d9817c690c2828e
21056,Nintendo Super Famicom,SFC,Yuujin Janjuu Gakuen,Yuujin Janjuu Gakuen,primary_ascii,遊人 雀獣学園,NTSC-J,ja,cartridge,SFC | Yuujin Janjuu Gakuen | NTSC-J | ja | cartridge,3456e12f22dd7736
21057,Nintendo Super Famicom,SFC,Thunderbirds Kokusai Kyuujotai Juudou Seyo!!,Thunderbirds Kokusai Kyuujotai Juudou Seyo!!,primary_ascii,サンダーバード 国際救助隊出撃せよ！！|Gerry Anderson's Thunderbirds,NTSC-J,ja,cartridge,SFC | Thunderbirds Kokusai Kyuujotai Juudou Seyo!! | NTSC-J | ja | cartridge,ca4dd5ad91cb6f1b
21058,Nintendo Super Famicom,SFC,Koutetsu no Kishi 2 Sabaku no Rommel Shougun,Koutetsu no Kishi 2 Sabaku no Rommel Shougun,primary_ascii,鋼鉄の騎士2 砂漠のロンメル軍団,NTSC-J,ja,cartridge,SFC | Koutetsu no Kishi 2 Sabaku no Rommel Shougun | NTSC-J | ja | cartridge,ee4881800a463127
21067,Nintendo Super Famicom,SFC,Kunio no Oden,Kunio no Oden,primary_ascii,くにおのおでん,NTSC-J,ja,cartridge,SFC | Kunio no Oden | NTSC-J | ja | cartridge,474a1603af97687c
21068,Nintendo Super Famicom,SFC,Battle Zeque Den,Battle Zeque Den,primary_ascii,バトル ゼクウ 伝|バトル Zeque 伝,NTSC-J,ja,cartridge,SFC | Battle Zeque Den | NTSC-J | ja | cartridge,1ed27fa433545a73
21069,Nintendo Super Famicom,SFC,Hisshou 777 Fighter III Kokuryuu Ou no Fukkatsu,Hisshou 777 Fighter III Kokuryuu Ou no Fukkatsu,primary_ascii,必勝777 FIGHTER III 黒竜王の復活,NTSC-J,ja,cartridge,SFC | Hisshou 777 Fighter III Kokuryuu Ou no Fukkatsu | NTSC-J | ja | cartridge,8e48388881f59046
21088,Nintendo Super Famicom,SFC,Super Uno,Super Uno,primary_ascii,スーパーUNO,NTSC-J,ja,cartridge,SFC | Super Uno | NTSC-J | ja | cartridge,bbdac70bd00d3970
21093,Nintendo Super Famicom,SFC,World Heroes 2,World Heroes 2,primary_ascii,ワールドヒーローズ2,NTSC-J,ja,cartridge,SFC | World Heroes 2 | NTSC-J | ja | cartridge,0bbc49033378d21a
21095,Nintendo Super Famicom,SFC,Space Bazooka,Space Bazooka,primary_ascii,スペースバズーカ|Battle Clash,NTSC-J,ja,cartridge,SFC | Space Bazooka | NTSC-J | ja | cartridge,6ff8c9e08d5f6726
21102,Nintendo Super Famicom,SFC,Super Puyo Puyo,Super Puyo Puyo,primary_ascii,す〜ぱ〜ぷよぷよ|Kirby's Avalanche|Kirby's Ghost Trap,NTSC-J,ja,cartridge,SFC | Super Puyo Puyo | NTSC-J | ja | cartridge,03bfd0f5f59bbddc
21105,Nintendo Super Famicom,SFC,Keiba Eight 8 Special Hi Baken Kounyuu Jutsu,Keiba Eight 8 Special Hi Baken Kounyuu Jutsu,primary_ascii,競馬エイト8スペシャル 秘 馬券購入術,NTSC-J,ja,cartridge,SFC | Keiba Eight 8 Special Hi Baken Kounyuu Jutsu | NTSC-J | ja | cartridge,d6cd454ec28af244
21108,Nintendo Super Famicom,SFC,Tom to Jerry,Tom to Jerry,primary_ascii,トムとジェリー|Tom and Jerry|Tom & Jerry,NTSC-J,ja,cartridge,SFC | Tom to Jerry | NTSC-J | ja | cartridge,b3dbfa39c20ebf08
21110,Nintendo Super Famicom,SFC,Xak The Art of Visual Stage,Xak The Art of Visual Stage,primary_ascii,サーク The Art of Visual Stage,NTSC-J,ja,cartridge,SFC | Xak The Art of Visual Stage | NTSC-J | ja | cartridge,2608b08db52497f8
21112,Nintendo Super Famicom,SFC,Dai Bakushou Jinsei Gekijou Dokidoki Seishun Hen,Dai Bakushou Jinsei Gekijou Dokidoki Seishun Hen,primary_ascii,大爆笑 人生劇場 〜ドキドキ青春編〜,NTSC-J,ja,cartridge,SFC | Dai Bakushou Jinsei Gekijou Dokidoki Seishun Hen | NTSC-J | ja | cartridge,2e0752234fc9698a
21116,Nintendo Super Famicom,SFC,Super Battletank,Super Battletank,primary_ascii,スーパーバトルタンク|Garry Kitchen's Super Battletank War in the Gulf,NTSC-J,ja,cartridge,SFC | Super Battletank | NTSC-J | ja | cartridge,7bc93195ab326356
21117,Nintendo Super Famicom,SFC,Jigsaw Party,Jigsaw Party,primary_ascii,ジグソーパ〜ティ〜|Pieces,NTSC-J,ja,cartridge,SFC | Jigsaw Party | NTSC-J | ja | cartridge,68e67fbfd77b950b
21123,Nintendo Super Famicom,SFC,Fire Pro Joshi All Star Dream Slam,Fire Pro Joshi All Star Dream Slam,primary_ascii,ファイプロ女子 オールスタードリームスラム,NTSC-J,ja,cartridge,SFC | Fire Pro Joshi All Star Dream Slam | NTSC-J | ja | cartridge,63fc895c2f314d6a
21125,Nintendo Super Famicom,SFC,Andre Agassi Tennis,Andre Agassi Tennis,primary_ascii,アンドレ・アガシ テニス,NTSC-J,ja,cartridge,SFC | Andre Agassi Tennis | NTSC-J | ja | cartridge,cf0dda2a31b5d16c
21137,Nintendo Super Famicom,SFC,Ganbare Daiku no Gensan,Ganbare Daiku no Gensan,primary_ascii,がんばれ！大工の源さん|Hammerin' Harry (series),NTSC-J,ja,cartridge,SFC | Ganbare Daiku no Gensan | NTSC-J | ja | cartridge,1f398a1b70cb7bd1
21138,Nintendo Super Famicom,SFC,NBA Pro Basketball Bulls vs Blazers,NBA Pro Basketball Bulls vs Blazers,primary_ascii,NBAプロバスケットボール ブルズVSブレイザーズ,NTSC-J,ja,cartridge,SFC | NBA Pro Basketball Bulls vs Blazers | NTSC-J | ja | cartridge,f37ee7a9f4b5487a
21139,Nintendo Super Famicom,SFC,Pachislot Land Pachi Pachi Coin no Densetsu,Pachislot Land Pachi Pachi Coin no Densetsu,primary_ascii,パチスロランド ぱちぱちコインの伝説,NTSC-J,ja,cartridge,SFC | Pachislot Land Pachi Pachi Coin no Densetsu | NTSC-J | ja | cartridge,bdf0a3fb2251948d
21140,Nintendo Super Famicom,SFC,Battle Soccer Field no Hasha,Battle Soccer Field no Hasha,primary_ascii,バトルサッカー フィールドの覇者,NTSC-J,ja,cartridge,SFC | Battle Soccer Field no Hasha | NTSC-J | ja | cartridge,3d0f3a66f061218d
21141,Nintendo Super Famicom,SFC,Pachiokun Special,Pachiokun Special,primary_ascii,パチ夫くん スペシャル,NTSC-J,ja,cartridge,SFC | Pachiokun Special | NTSC-J | ja | cartridge,28f1e52cf2eaf6ec
21142,Nintendo Super Famicom,SFC,Yu Yu Hakusho,Yu Yu Hakusho,primary_ascii,幽☆遊☆白書|幽遊白書,NTSC-J,ja,cartridge,SFC | Yu Yu Hakusho | NTSC-J | ja | cartridge,93cb44f0cf29320a
21143,Nintendo Super Famicom,SFC,Majin Tensei,Majin Tensei,primary_ascii,魔神転生,NTSC-J,ja,cartridge,SFC | Majin Tensei | NTSC-J | ja | cartridge,f97d3525d03ac011
21144,Nintendo Super Famicom,SFC,Pachi Slot Shoubushi,Pachi Slot Shoubushi,primary_ascii,パチスロ勝負師|Pachi Slot Gambler|パチスロギャンブラー,NTSC-J,ja,cartridge,SFC | Pachi Slot Shoubushi | NTSC-J | ja | cartridge,9af74b7ccf9773bd
21145,Nintendo Super Famicom,SFC,Mahou Poi Poi Poitto!,Mahou Poi Poi Poitto!,primary_ascii,魔法ぽいぽい ぽいっと！,NTSC-J,ja,cartridge,SFC | Mahou Poi Poi Poitto! | NTSC-J | ja | cartridge,fa2ed93f155d9df3
21146,Nintendo Super Famicom,SFC,Daikoukai Jidai II,Daikoukai Jidai II,primary_ascii,大航海時代II|Uncharted Waters New Horizons,NTSC-J,ja,cartridge,SFC | Daikoukai Jidai II | NTSC-J | ja | cartridge,5d8bcf07903aab52
21147,Nintendo Super Famicom,SFC,Mouryou Senki Madara 2,Mouryou Senki Madara 2,primary_ascii,魍魎戦記 Madara 2|魍魎戦記マダラ2,NTSC-J,ja,cartridge,SFC | Mouryou Senki Madara 2 | NTSC-J | ja | cartridge,99f26d02b16e53cb
21148,Nintendo Super Famicom,SFC,King of the Monsters 2,King of the Monsters 2,primary_ascii,キング・オブ・ザ・モンスターズ 2|King of the Monsters 2: The Next Thing,NTSC-J,ja,cartridge,SFC | King of the Monsters 2 | NTSC-J | ja | cartridge,b915702f5b3314fe
21149,Nintendo Super Famicom,SFC,Super Black Bass,Super Black Bass,primary_ascii,スーパーブラックバス,NTSC-J,ja,cartridge,SFC | Super Black Bass | NTSC-J | ja | cartridge,5037eb75687fce79
21150,Nintendo Super Famicom,SFC,Jikkyou Powerful Pro Yakyuu '94,Jikkyou Powerful Pro Yakyuu '94,primary_ascii,実況パワフルプロ野球'94,NTSC-J,ja,cartridge,SFC | Jikkyou Powerful Pro Yakyuu '94 | NTSC-J | ja | cartridge,50d7c6b6b28917e1
21151,Nintendo Super Famicom,SFC,Sangokushi Seishi Tenbu Spirits,Sangokushi Seishi Tenbu Spirits,primary_ascii,三国志正史 天舞スピリッツ,NTSC-J,ja,cartridge,SFC | Sangokushi Seishi Tenbu Spirits | NTSC-J | ja | cartridge,b81c46c8317b2656
21152,Nintendo Super Famicom,SFC,Heisei Gunjin Shougi,Heisei Gunjin Shougi,primary_ascii,平成軍人将棋,NTSC-J,ja,cartridge,SFC | Heisei Gunjin Shougi | NTSC-J | ja | cartridge,b1f95a0283b4b6e5
21153,Nintendo Super Famicom,SFC,Naxat Super Pinball Jaki Hakai,Naxat Super Pinball Jaki Hakai,primary_ascii,ナグザット スーパーピンボール 邪鬼破壊|Jaki Crush,NTSC-J,ja,cartridge,SFC | Naxat Super Pinball Jaki Hakai | NTSC-J | ja | cartridge,33caf7b90d12fd01
21154,Nintendo Super Famicom,SFC,Super Gomoku Shougi Jouseki Kenkyuu Hen,Super Gomoku Shougi Jouseki Kenkyuu Hen,primary_ascii,スーパー五目・将棋 - 定跡研究篇 -,NTSC-J,ja,cartridge,SFC | Super Gomoku Shougi Jouseki Kenkyuu Hen | NTSC-J | ja | cartridge,44b7b9ce0da6661b
21156,Nintendo Super Famicom,SFC,The Blue Crystal Rod,The Blue Crystal Rod,primary_ascii,ザ ブルークリスタルロッド,NTSC-J,ja,cartridge,SFC | The Blue Crystal Rod | NTSC-J | ja | cartridge,9b1d6f6426fe837f
21161,Nintendo Super Famicom,SFC,Hiouden Mamono-tachi Tono Chikai,Hiouden Mamono-tachi Tono Chikai,primary_ascii,緋王伝 魔物達との誓い,NTSC-J,ja,cartridge,SFC | Hiouden Mamono-tachi Tono Chikai | NTSC-J | ja | cartridge,4fad56c2ad9e871d
21162,Nintendo Super Famicom,SFC,Ys IV Mask of the Sun,Ys IV Mask of the Sun,primary_ascii,イースIV マスク オブ ザ サン,NTSC-J,ja,cartridge,SFC | Ys IV Mask of the Sun | NTSC-J | ja | cartridge,bf36fe54c456e5ae
21164,Nintendo Super Famicom,SFC,Kessen! Dokapon Okukoku IV Densetsu no Yuusha Tachi,Kessen! Dokapon Okukoku IV Densetsu no Yuusha Tachi,primary_ascii,決戦！ドカポン王国IV 〜伝説の勇者たち〜,NTSC-J,ja,cartridge,SFC | Kessen! Dokapon Okukoku IV Densetsu no Yuusha Tachi | NTSC-J | ja | cartridge,7fc544a1747dfbf8
21166,Nintendo Super Famicom,SFC,Bass Masters Classic,Bass Masters Classic,primary_ascii,バスマスターズ クラシック,NTSC-J,ja,cartridge,SFC | Bass Masters Classic | NTSC-J | ja | cartridge,4f01ac41842c1ff1
21167,Nintendo Super Famicom,SFC,Yokoyama Mitsuteru Sangokushi 2,Yokoyama Mitsuteru Sangokushi 2,primary_ascii,横山光輝 三国志2,NTSC-J,ja,cartridge,SFC | Yokoyama Mitsuteru Sangokushi 2 | NTSC-J | ja | cartridge,6daf591352e64817
21168,Nintendo Super Famicom,SFC,Full Power,Full Power,primary_ascii,フル・パワー|Full Throttle All-American Racing,NTSC-J,ja,cartridge,SFC | Full Power | NTSC-J | ja | cartridge,e4ddb244ec5f954b
21171,Nintendo Super Famicom,SFC,Cosmo Police Galivan II Arrow of Justice,Cosmo Police Galivan II Arrow of Justice,primary_ascii,コスモポリスギャリバンII Arrow of Justice,NTSC-J,ja,cartridge,SFC | Cosmo Police Galivan II Arrow of Justice | NTSC-J | ja | cartridge,5b4039b042e80599
21173,Nintendo Super Famicom,SFC,Idea no Hi,Idea no Hi,primary_ascii,イデアの日|Day of the Idea,NTSC-J,ja,cartridge,SFC | Idea no Hi | NTSC-J | ja | cartridge,a253388229117208
21186,Nintendo Super Famicom,SFC,Super F1 Circus 3,Super F1 Circus 3,primary_ascii,スーパーエフワン サーカス3,NTSC-J,ja,cartridge,SFC | Super F1 Circus 3 | NTSC-J | ja | cartridge,af79298298743cc8
21192,Nintendo Super Famicom,SFC,Mortal Kombat Shinken Kourin Densetsu,Mortal Kombat Shinken Kourin Densetsu,primary_ascii,モータルコンバット 神拳降臨伝説|Mortal Kombat,NTSC-J,ja,cartridge,SFC | Mortal Kombat Shinken Kourin Densetsu | NTSC-J | ja | cartridge,954e622652fd33ca
21196,Nintendo Super Famicom,SFC,Mahjong Hanjouki,Mahjong Hanjouki,primary_ascii,麻雀繁盛記,NTSC-J,ja,cartridge,SFC | Mahjong Hanjouki | NTSC-J | ja | cartridge,0fa4b1940377e85f
21200,Nintendo Super Famicom,SFC,Dragon Slayer Eiyuu Densetsu II,Dragon Slayer Eiyuu Densetsu II,primary_ascii,ドラゴンスレイヤー 英雄伝説II|Dragon Slayer Eiyuu Densetsu 2|Dragon Slayer The Legend of Heroes II,NTSC-J,ja,cartridge,SFC | Dragon Slayer Eiyuu Densetsu II | NTSC-J | ja | cartridge,f38a9abaf2a95aa0
21208,Nintendo Super Famicom,SFC,Drift King Keiichi Tsuchiya & Masaaki Bando Shutokou Battle '94,Drift King Keiichi Tsuchiya & Masaaki Bando Shutokou Battle '94,primary_ascii,ドリフトキング 土屋圭市＆坂東正明 首都高バトル'94,NTSC-J,ja,cartridge,SFC | Drift King Keiichi Tsuchiya & Masaaki Bando Shutokou Battle '94 | NTSC-J | ja | cartridge,dc3960a4cee6a948
21225,Nintendo Super Famicom,SFC,Super Mahjong 2 Honkaku 4 Nin Uchi!,Super Mahjong 2 Honkaku 4 Nin Uchi!,primary_ascii,スーパー麻雀2 本格4人打ち！,NTSC-J,ja,cartridge,SFC | Super Mahjong 2 Honkaku 4 Nin Uchi! | NTSC-J | ja | cartridge,8f0b441ef6f13ff0
21228,Nintendo Super Famicom,SFC,Hayazashi Nidan Morita Shougi 2,Hayazashi Nidan Morita Shougi 2,primary_ascii,早指し 二段 森田将棋2,NTSC-J,ja,cartridge,SFC | Hayazashi Nidan Morita Shougi 2 | NTSC-J | ja | cartridge,367ba5ff72ec6268
21229,Nintendo Super Famicom,SFC,NBA Jam,NBA Jam,primary_ascii,NBAジャム,NTSC-J,ja,cartridge,SFC | NBA Jam | NTSC-J | ja | cartridge,7586171d22a17c86
21230,Nintendo Super Famicom,SFC,Ghost Sweeper GS Mikami Joreishi wa Nice Body,Ghost Sweeper GS Mikami Joreishi wa Nice Body,primary_ascii,ゴーストスイーパー GS美神 〜除霊師はナイスバディ〜,NTSC-J,ja,cartridge,SFC | Ghost Sweeper GS Mikami Joreishi wa Nice Body | NTSC-J | ja | cartridge,01c9f3834a03a341
21232,Nintendo Super Famicom,SFC,X Zone,X Zone,primary_ascii,エックス・ゾーン|X-Zone,NTSC-J,ja,cartridge,SFC | X Zone | NTSC-J | ja | cartridge,44a7612d12fad7b9
21235,Nintendo Super Famicom,SFC,Yamaneko Bubsy no Daibouken,Yamaneko Bubsy no Daibouken,primary_ascii,やまねこバブジーの大冒険|やまねこBubsyの大冒険|Bubsy in Claws Encounters of the Furred Kind,NTSC-J,ja,cartridge,SFC | Yamaneko Bubsy no Daibouken | NTSC-J | ja | cartridge,bee2a37ebac16ce4
21239,Nintendo Super Famicom,SFC,Waratte Iitomo! Tamorin Pick,Waratte Iitomo! Tamorin Pick,primary_ascii,笑っていいとも！タモリンピック,NTSC-J,ja,cartridge,SFC | Waratte Iitomo! Tamorin Pick | NTSC-J | ja | cartridge,d03085fbcae17d18
21242,Nintendo Super Famicom,SFC,X-Men Mutant Apocalypse,X-Men Mutant Apocalypse,primary_ascii,エックスメン ミュータントアポカリプス,NTSC-J,ja,cartridge,SFC | X-Men Mutant Apocalypse | NTSC-J | ja | cartridge,0c91679657254f96
21251,Nintendo Super Famicom,SFC,Serizawa Nobuo no Birdie Try,Serizawa Nobuo no Birdie Try,primary_ascii,芹沢信雄のバーディトライ,NTSC-J,ja,cartridge,SFC | Serizawa Nobuo no Birdie Try | NTSC-J | ja | cartridge,28f50fe3c1e23fd2
21253,Nintendo Super Famicom,SFC,Frank Thomas Big Hurt Baseball,Frank Thomas Big Hurt Baseball,primary_ascii,フランク・トーマス ビッグ・ハート ベースボール,NTSC-J,ja,cartridge,SFC | Frank Thomas Big Hurt Baseball | NTSC-J | ja | cartridge,cd65418f38802691
21290,Nintendo Super Famicom,SFC,Ryuu Kihei Dan Danzarubu,Ryuu Kihei Dan Danzarubu,primary_ascii,龍騎兵団ダンダンザルブ,NTSC-J,ja,cartridge,SFC | Ryuu Kihei Dan Danzarubu | NTSC-J | ja | cartridge,6f389e42943ac20b
21294,Nintendo Super Famicom,SFC,Super Ultra Baseball 2,Super Ultra Baseball 2,primary_ascii,スーパーウルトラベースボール2,NTSC-J,ja,cartridge,SFC | Super Ultra Baseball 2 | NTSC-J | ja | cartridge,827387d7e0760093
21295,Nintendo Super Famicom,SFC,Pinocchio,Pinocchio,primary_ascii,ピノキオ|Disney's Pinocchio,NTSC-J,ja,cartridge,SFC | Pinocchio | NTSC-J | ja | cartridge,36d989e6a74d89cb
21301,Nintendo Super Famicom,SFC,Super Kyousouba Kaze no Sylphid,Super Kyousouba Kaze no Sylphid,primary_ascii,スーパー競走馬 風のシルフィード,NTSC-J,ja,cartridge,SFC | Super Kyousouba Kaze no Sylphid | NTSC-J | ja | cartridge,d97c3d1b2b844705
21302,Nintendo Super Famicom,SFC,Tecmo Super Bowl III Final Edition,Tecmo Super Bowl III Final Edition,primary_ascii,テクモスーパーボウルIII ファイナルエディション,NTSC-J,ja,cartridge,SFC | Tecmo Super Bowl III Final Edition | NTSC-J | ja | cartridge,00733381c7c15d54
21304,Nintendo Super Famicom,SFC,Kouryaku Casino Bar,Kouryaku Casino Bar,primary_ascii,攻略カジノバー,NTSC-J,ja,cartridge,SFC | Kouryaku Casino Bar | NTSC-J | ja | cartridge,1de802986a192bd0
