object_number,title,title.type,object_name,object_name.type,object_category,broadcast_standard,title.language,place_of_publication
21140,Battle Soccer Field no Hasha;バトルサッカー フィールドの覇者,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21141,Pachiokun Special;パチ夫くん スペシャル,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21142,Yu Yu Hakusho;幽☆遊☆白書;幽遊白書,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21143,Majin Tensei;魔神転生,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21144,Pachi Slot Shoubushi;パチスロ勝負師;Pachi Slot Gambler;パチスロギャンブラー,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;,Japan
21145,Mahou Poi Poi Poitto!;魔法ぽいぽい ぽいっと！,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21146,Daikoukai Jidai II;大航海時代II;Uncharted Waters New Horizons,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21147,Mouryou Senki Madara 2;魍魎戦記 Madara 2;魍魎戦記マダラ2,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21148,King of the Monsters 2;キング・オブ・ザ・モンスターズ 2;King of the Monsters 2: The Next Thing,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21149,Super Black Bass;スーパーブラックバス,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21150,Jikkyou Powerful Pro Yakyuu '94;実況パワフルプロ野球'94,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21151,Sangokushi Seishi Tenbu Spirits;三国志正史 天舞スピリッツ,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21152,Heisei Gunjin Shougi;平成軍人将棋,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21153,Naxat Super Pinball Jaki Hakai;ナグザット スーパーピンボール 邪鬼破壊;Jaki Crush,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21154,Super Gomoku Shougi Jouseki Kenkyuu Hen;スーパー五目・将棋 — 定跡研究篇 —,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21156,The Blue Crystal Rod;ザ ブルークリスタルロッド,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21161,Hiouden Mamono-tachi Tono Chikai;緋王伝 魔物達との誓い,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21162,Ys IV Mask of the Sun;イースIV マスク オブ ザ サン,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21164,Kessen! Dokapon Okukoku IV Densetsu no Yuusha Tachi;決戦！ドカポン王国IV 〜伝説の勇者たち〜,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21166,Bass Masters Classic;バスマスターズ クラシック,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21167,Yokoyama Mitsuteru Sangokushi 2;横山光輝 三国志2,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21168,Full Power;フル・パワー;Full Throttle All-American Racing,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21171,Cosmo Police Galivan II Arrow of Justice;コスモポリスギャリバンII Arrow of Justice,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21173,Idea no Hi;イデアの日;Day of the Idea,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21186,Super F1 Circus 3;スーパーエフワン サーカス3,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21192,Mortal Kombat Shinken Kourin Densetsu;モータルコンバット 神拳降臨伝説;Mortal Kombat,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21196,Mahjong Hanjouki;麻雀繁盛記,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21200,Dragon Slayer Eiyuu Densetsu II;ドラゴンスレイヤー 英雄伝説II;Dragon Slayer Eiyuu Densetsu 2;Dragon Slayer The Legend of Heroes II,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;,Japan
21208,Drift King Keiichi Tsuchiya & Masaaki Bando Shutokou Battle '94;ドリフトキング 土屋圭市＆坂東正明 首都高バトル'94,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21225,Super Mahjong 2 Honkaku 4 Nin Uchi!;スーパー麻雀2 本格4人打ち！,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21228,Hayazashi Nidan Morita Shougi 2;早指し 二段 森田将棋2,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21229,NBA Jam;NBAジャム,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21230,Ghost Sweeper GS Mikami Joreishi wa Nice Body;ゴーストスイーパー GS美神 〜除霊師はナイスバディ〜,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21232,X Zone;エックス・ゾーン;X-Zone,Game Title Alternative;Game Title;,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21235,Yamaneko Bubsy no Daibouken;やまねこバブジーの大冒険;やまねこBubsyの大冒険;Bubsy in Claws Encounters of the Furred Kind,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;,Japan
21239,Waratte Iitomo! Tamorin Pick;笑っていいとも！タモリンピック,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21242,X-Men Mutant Apocalypse;エックスメン ミュータントアポカリプス,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21251,Serizawa Nobuo no Birdie Try;芹沢信雄のバーディトライ,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21253,Frank Thomas Big Hurt Baseball;フランク・トーマス ビッグ・ハート ベースボール,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21290,Ryuu Kihei Dan Danzarubu;龍騎兵団ダンダンザルブ,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21294,Super Ultra Baseball 2;スーパーウルトラベースボール2,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21295,Pinocchio;ピノキオ;Disney's Pinocchio,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21301,Super Kyousouba Kaze no Sylphid;スーパー競走馬 風のシルフィード,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21302,Tecmo Super Bowl III Final Edition;テクモスーパーボウルIII ファイナルエディション,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21304,Kouryaku Casino Bar;攻略カジノバー,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21311,Kyoraku Sanyo Toyomaru Okumura Daiichi Maruhon Parlor! Parlor! IV Pachinko 6-sha CR Jikki Simulation Game;京楽 三洋 豊丸 奥村 大一 マルホン Parlor!パーラー!IV CR パチンコ6社・CR実機シミュレーションゲーム,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21319,NBA Jikkyou Basket Winning Dunk;ＮＢＡ実況バスケットウイニングダンク;NBA Give 'n Go,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21327,Shin Kidou Senki Gundam W Wing Endless Duel;新機動戦記ガンダムW ウイング Endless Duel,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21345,Nobunaga no Yabou Tenshouki;信長の野望 天翔記,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21351,Bakutou Dodgers Bumps Shima wa Oosawagi;爆投ドッチャーズ バンプス島は大さわぎ,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21359,Jikkyou Powerful Pro Yakyuu '96 Kaimaku Ban;実況パワフルプロ野球'96開幕版,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21360,Super Rugby;スーパーラグビー,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21372,Matsukata Hiroki no Super Trawling;松方弘樹のスーパートローリング,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21375,Mahjong Hishouden Naki no Ryuu;麻雀飛翔伝 哭きの竜,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21418,Kyoraku Sanyo Toyomaru Okumura Daiichi Maruhon Parlor! Parlor! 3 Pachinko 5-sha Jikki Simulation Game;京楽 三洋 豊丸 奥村 太陽 Parlor ! パーラー！3 パチンコ5社・実機シミュレーションゲーム,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21421,Marvelous Mouhitotsu no Takarajima;マーヴェラス 〜もうひとつの宝島〜,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21429,Dai Bakushou Jinsei Gekijou Zukkoke Salary Man Hen;大爆笑 人生劇場 ずっこけサラリーマン編,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21430,Ball Bullet Gun Survival Game Simulation;ボール・ブレット・ガン サバイバルゲーム,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21433,Sengoku no Hasha Tenka Nuno bu he no Michi;戦国の覇者 〜天下布武への道〜,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21435,J. League Excite Stage '96;Jリーグエキサイトステージ'96,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21440,Nichibutsu Collection 2;ニチブツコレクション2,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21443,Kero Kero Keroppi no Bouken Nikki Nemureru Mori no Keroriinu;けろけろけろっぴの冒険日記 眠れる森のけろりーぬ,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21445,Daikaijuu Monogatari II;大貝獣物語II;Daikaijuu Monogatari 2,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21465,Traverse Starlight & Prairie;トラバース スターライト&プレーリー,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21468,Gekitou Burning Pro Wrestling;激闘 バーニング・プロレス,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21471,Parlor! Mini Pachinko Jikki Simulation Game;パーラー！ミニ パチンコ実機シミュレーションゲーム,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21473,Jissen Bass Fishing Hisshouhou in USA;実戦バスフィッシング必勝法 in USA,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21474,Earth Light Luna Strike;アースライト ルナ・ストライク,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21476,Popoitto Hebereke;ポポイっとへべれけ;Hebereke's Popoitto,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21477,Jikkyou Power Pro Wrestling '96 Max Voltage;実況パワープロレスリング'96 マックス ボルテージ,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21496,Farland Story 2;ファーランドストーリー2,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21522,Mahoujin Guru Guru 2;魔法陣グルグル2,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21523,VS. Collection;VS. コレクション,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21526,Super Robot Taisen Gaiden Masou Kishin The Lord Of Elemental;スーパーロボット大戦外伝 魔装機神 The Lord Of Elemental,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21527,Kidou Senshi Z Gundam Away to the New Type;機動戦士Zガンダム Away to the New Type,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21529,Game no Tetsujin The Shanghai;ゲームの鉄人 The上海,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21531,Wedding Peach;ウェディングピーチ,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21552,Parlor! Mini 4 Pachinko Jikki Simulation Game;パーラー！ミニ4 パチンコ実機シミュレーションゲーム,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21555,Hi no Ouji Yamato Takeru;火の皇子 ヤマトタケル,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21561,Clock Works;クロックワークス,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21573,Gokinjo Bouken Tai;ごきんじょ冒険隊,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21577,G.O.D Mezameyo to Yobu Koe ga Kikoe;G・O・D 目覚めよと呼ぶ声が聴こえ,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21578,Sangokushi Eiketsuden;三國志英傑伝,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21579,Donald no Maui Mallard;ドナルドダックのマウイマラード;Donald in Maui Mallard;Maui Mallard in Cold Shadow,Game Title Alternative;Game Title;Game Title Alternative;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;;,Japan
21580,Honke Sankyo Fever 3 Jikki Simulation;本家Sankyo FEVER 3 実機シミュレーション,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21581,Foreman for Real;フォアマン フォーリアル,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21582,Getsumen no Anubis;月面のアヌビス,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21583,Jissen Pachi Slot Hisshouhou! Yamasa Densetsu;実戦パチスロ必勝法！山佐伝説,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21584,Ippatsu Gyakuten!! Keiba Keirin Kyoutei;一発逆転！！ 競馬・競輪・競艇,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21585,Shounin yo Taishi wo Idake!!;商人よ、大志を抱け！！,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21586,Super Famista 5;スーパーファミスタ5,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21587,The Jungle Book;ジャングルブック;Disney's The Jungle Book,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21588,Bishoujo Senshi Sailor Moon Super S Zenin Sanka!! Shuyaku Soudatsusen;美少女戦士セーラームーン 全員参加！！主役争奪戦,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21644,Winning Post 2 Program '96;ウイニングポスト2 プログラム'96,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21645,Super Kyoutei;スーパー競艇,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21646,Pebble Beach no Hatou New Tournament Edition;ペブルビーチ の波濤 New ～トーナメントエディション～,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21647,Super Fire Pro Wrestling X Premium;スーパーファイヤープロレスリングX プレミアム,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21648,Silva Saga II The Legend of Light & Darkness;シルヴァ・サーガII The Legend of Light & Darkness,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21649,Logos Panic GO.A.I.SA.TU;ロゴスパニックごあいさつ,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21650,Nishijin Pachinko Monogatari 2;西陣パチンコ物語2,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21651,Jikkyou Powerful Pro Yakyuu 3;実況パワフルプロ野球3,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21652,Treasure Hunter G;トレジャーハンターG,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21655,Time Bokan Series New Yatterman Nan Dai Kan Dai Yajirobee;タイムボカン･シリーズ NEWヤッターマン 難題かんだいヤジロベエ,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21662,Yuujin Janjuu Gakuen 2;遊人 雀獣学園2,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21664,Nichibutsu Arcade Classics 2 Heiankyo Alien;ニチブツアーケードクラシックス2 平安京エイリアン,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21666,Shiroi Ringu He Twinkle Little Star;白いリングへ トゥインクル・リトル・スター,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21667,Rise Of The Robots;ライズ オブ ザ ロボッツ,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21668,Stealth;ステルス,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21669,Best Shot Pro Golf;ベストショットプロゴルフ,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21670,Granhistoria Genshi Sekaiki;グランヒストリア 〜幻史世界記〜,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21671,Super Mario RPG;スーパーマリオRPG;Super Mario RPG Legend of the Seven Stars,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21672,Magical Drop 2;マジカルドロップ2,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21673,Super Formation Soccer 96 World Club Edition;スーパーフォーメーションサッカー96 ワールドクラブエディション,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21674,MechWarrior 3050;バトルテック3050,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21675,Kamen Rider SD Shutsugeki!! Rider Machine;仮面ライダーSD 出撃！！ライダーマシン,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21677,Bakumatsu Kourinden Oni;幕末降臨伝 Oni,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21678,Jissen Pachinko Hisshouhou! 2;実戦パチンコ必勝法！2,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21680,Sugoroku Ginga Senki;すごろく銀河戦記,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21681,Hissatsu Pachinko Collection 4;必殺パチンココレクション4,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21682,Kidou Senshi Gundam F91 Formula Senki 0122;機動戦士ガンダムF91 フォーミュラー戦記0122,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21683,Madou Monogatari Hanamaru Daiyouchienji;魔導物語 はなまる大幼稚園児,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21684,Wagyan Paradise;ワギャンパラダイス;Wagan Paradise,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21685,Fortune Quest Dice wo Korogase;フォーチュンクエスト ダイスをころがせ,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21689,Energy Breaker;エナジーブレイカー,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21691,Ouchan no Oekaki Logic;おーちゃんのお絵かきロジック,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21693,Revolution X;レボリューションX,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21700,Super Tsume Shougi 1000;スーパー詰将棋1000,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21702,Star Ocean;スターオーシャン,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21704,Casper;キャスパー,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21710,Iso Zuri Ritou Hen;磯釣り 離島篇,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21713,Super Donkey Kong Nazo no Krems Shima;スーパードンキーコング3 謎のクレミス島;Donkey Kong Country 3 Dixie Kong's Double Trouble,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21716,Nintama Rantarou Special;忍たま乱太郎すぺしゃる,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21717,Ghoul Patrol;グールパトロール,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21720,JB The Super Bass;JBザ・スーパーバス,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21721,Miracle Girls Tomomi to mi Kage no Fushigi Sekai no Dai Bouken;ミラクルガールズ ともみとみかげの不思議世界の大冒険,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21732,Herakles no Eikou IV Kamigami Kara no Okurimono;ヘラクレスの栄光IV 神々からの贈り物,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21753,Gan Gan Gan-Chan;ガンガンガンチャン,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21754,Daisenryaku Expert WWII War in Europe;大戦略エキスパートWW II War In Europe;Great Strategy Expert WWII,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21755,Super Trump Collection 2;スーパートランプコレクション2,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21756,Dokapon Gaiden Honoo no Audition;ドカポン外伝 炎のオーディション,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21757,Super Pang;スーパーパン,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21758,Heiwa Parlor! Mini 8 Pachinko Jikki Simulation Game;平和 パーラー！ミニ8 パチンコ実機シミュレーションゲーム,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21759,Fire Emblem Seisen no Keifu;ファイアーエムブレム 聖戦の系譜;Fire Emblem Genealogy of the Holy War,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21760,Dragon Knight 4;ドラゴンナイトIV,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21761,Super Nazo Puyo 2 Lulu no Tetsuwan Hanjouki;す〜ぱ〜なぞぷよ通 ルルーの鉄腕繁盛記;Super Nazo Puyo Tsuu Lulu no Tetsuwan Hanjouki,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21769,Super Black Bass 3;スーパーブラックバス3,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
21789,Final Stretch Suzuki Aguri Kanshuu;ファイナル・ストレッチ 鈴木亜久里監修;Final Stretch Supervised by Aguri Suzuki,Game Title Alternative;Game Title;Game Title Alternative,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;;,Japan
21790,Numbers Paradise;ナンバーズパラダイス,Game Title Alternative;Game Title,Nintendo Super Famicom,Cartridge,Game,NTSC-J,Japanese;,Japan
